text,n,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @garyblack00: Huge distinction between $NFLX and $TSLA:  NFLX growth has plunged because of Covid overhang and competition.  TSLA growth…,FALSE,0,NA,22-01-2022 05:44,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Rose17263100,96,TRUE,FALSE,NA,NA
"This house about to have 3 Tesla’s. 

My second order had to be cancelled so I can support my wife in school but, m… https://t.co/Axh1q5vdRP",FALSE,1,NA,22-01-2022 05:44,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bb1Kehn,0,FALSE,FALSE,NA,NA
"RT @hardmoneymag: BREAKING: TESLA TO OFFER SHORT SELLERS FREE RIDES TO BANKRUPTCY COURT $TSLA 

https://t.co/TLNS7E5IQI",FALSE,0,NA,22-01-2022 05:44,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chancethepug,191,TRUE,FALSE,NA,NA
"$sxp call, its a key level, trade safe....

 $SOUL $UFO $AAPL $TSLA $DOCN $AUPH $AMD $AVAX $ANKR $BTC $ADA $DOGE… https://t.co/spZNhYcE0m",FALSE,0,NA,22-01-2022 05:43,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Trades75699329,0,FALSE,FALSE,NA,NA
"RT @eddiek2: Next week for $tsla will be wild (in a good way), earnings are going to be great.  We'll see more inflows into Tesla as its se…",FALSE,0,NA,22-01-2022 05:43,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eddiek2,1,TRUE,FALSE,NA,NA
"RT @garyblack00: Two bullish charts from ARK why to own $TSLA:
- EV adoption continues to soar by over +50%/year (2021 +112%)
- $TSLA holdi…",FALSE,0,NA,22-01-2022 05:43,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kimball00186431,93,TRUE,FALSE,NA,NA
"RT @extremesb: Ambitious new #EV charging network launches in the #USA

Wonder who works with #EOSLinx …? ⁦@Austin_GIS⁩ #Intel $INTC $VSBY…",FALSE,0,NA,22-01-2022 05:42,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CrypTigerApe69,3,TRUE,FALSE,NA,NA
"RT @stevenmarkryan: https://t.co/Qs435LFwxa - Tesla “The One To Bet On”: Analyst (p.s. I SCREWED up...)

NEW

$TSLA #Tesla @Tesla #TeslaSto…",FALSE,0,NA,22-01-2022 05:42,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EDK_1007,6,TRUE,FALSE,NA,NA
RT @garyblack00: $TSLA and $NDX today. https://t.co/6Wbw3ps3iQ,FALSE,0,NA,22-01-2022 05:42,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",indrayam,26,TRUE,FALSE,NA,NA
If you panic sold your $tsla today you do not need to worry about Biden’s tax plan.,FALSE,0,NA,22-01-2022 05:41,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",neilsaidwhat,0,FALSE,FALSE,NA,NA
"RT @Teslaconomics: If you cant handle the red days, you don’t deserve the green days. 📉📈

$TSLA #Tesla",FALSE,0,NA,22-01-2022 05:41,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nfkmobile,20,TRUE,FALSE,NA,NA
What is your first intention when you open your computer in the morning. Make or loose money. Answer this question… https://t.co/gGkXGxCZsH,FALSE,0,NA,22-01-2022 05:41,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AndreiRazmerita,0,FALSE,FALSE,NA,NA
"RT @elwalvador: Self driving cars will never happen, $TSLA is going to zero.

Quantum computers will never happen, $IONQ is going to zero.…",FALSE,0,NA,22-01-2022 05:41,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Alienlife_1,1,TRUE,FALSE,NA,NA
"I have zero tech exposure since end of last year and I think the re-pricing is far from being done.
Surprised that… https://t.co/WTTY6gX4pM",FALSE,0,NA,22-01-2022 05:41,TRUE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RatesMaestro,0,FALSE,FALSE,NA,NA
"RT @Teslaconomics: If you cant handle the red days, you don’t deserve the green days. 📉📈

$TSLA #Tesla",FALSE,0,NA,22-01-2022 05:40,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MasembeAbdul7,20,TRUE,FALSE,NA,NA
"@jpr007 Great thread.

$TSLA and other quality EV manufacturers such as $NIO provide the best hedge against inflati… https://t.co/FQOqTeRKH1",FALSE,0,jpr007,22-01-2022 05:40,TRUE,1.4775E+18,1.48476E+18,52370117,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Neilcoram15,0,FALSE,FALSE,NA,NA
@levelsio @0xN0mad How about this for stock picking? Yes 1/3rd my networth back in 2019 was in $TSLA. Volatile year… https://t.co/P4HkumLvSy,FALSE,0,TungstenMaximus,22-01-2022 05:40,TRUE,1.48476E+18,1.48476E+18,2337724718,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TungstenMaximus,0,FALSE,FALSE,NA,NA
"RT @squawksquare: At least there is really no need to watch CNBC daily anymore. I mean, the markets are down. They're down every day. News…",FALSE,0,NA,22-01-2022 05:40,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,6,TRUE,FALSE,NA,NA
RT @ValueAnalyst1: You’re not a true $TSLA Bull until you’ve watched your savings halve in a week 🔥,FALSE,0,NA,22-01-2022 05:39,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",KellieAnnOxford,56,TRUE,FALSE,NA,NA
"RT @Umbisam: Several Chinese outlets reports that Tesla will officially launch the new 'Model Q' [😂] in 2023, be priced at $24,990 and will…",FALSE,0,NA,22-01-2022 05:38,FALSE,NA,1.48476E+18,NA,"<a href=""https://www.madmods4u.com"" rel=""nofollow"">StreamHelperApp</a>",HelperStream,31,TRUE,FALSE,NA,NA
"RT @Umbisam: Reminder: Today, Jan 21, 2021, GigaShanghai Producing &amp; Shipping Regardless Wall Street Whales' Tricky Games. $TSLA
(courtesy…",FALSE,0,NA,22-01-2022 05:37,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,23,TRUE,FALSE,NA,NA
